set,index,points,current,tiny11_DIRECT_NEW_WIRE,currentPlusTiny11_NEW_WIRE
prefix10,160,10,42,40,40
prefix1,161,1,16,14,14
prefix2,161,2,21,19,19
prefix3,161,3,22,21,21
prefix5,161,5,28,27,27
prefix10,161,10,40,39,39
prefix1,162,1,16,14,14
prefix2,162,2,19,18,18
prefix3,162,3,20,19,19
prefix5,162,5,28,27,27
prefix10,162,10,40,38,38
prefix1,163,1,14,13,13
prefix2,163,2,18,17,17
prefix3,163,3,19,18,18
prefix5,163,5,25,24,24
prefix10,163,10,37,35,35
full_tiny,164,14,49,48,48
prefix1,164,1,14,13,13
prefix2,164,2,19,18,18
prefix3,164,3,21,19,19
prefix5,164,5,27,26,26
prefix10,164,10,39,38,38
prefix1,165,1,15,13,13
prefix2,165,2,19,18,18
prefix3,165,3,23,22,22
prefix5,165,5,29,28,28
prefix10,165,10,44,43,43
prefix1,166,1,16,14,14
prefix2,166,2,21,19,19
prefix3,166,3,23,22,22
prefix5,166,5,27,25,25
prefix10,166,10,40,39,39
prefix1,167,1,14,13,13
prefix2,167,2,19,18,18
prefix3,167,3,22,21,21
prefix5,167,5,27,26,26
prefix10,167,10,39,38,38
prefix1,168,1,14,13,13
prefix2,168,2,19,18,18
prefix3,168,3,21,19,19
prefix5,168,5,24,23,23
prefix10,168,10,33,32,32
prefix1,169,1,15,13,13
prefix2,169,2,19,18,18
prefix3,169,3,23,22,22
prefix5,169,5,27,25,25
prefix10,169,10,39,38,38
prefix1,170,1,15,13,13
prefix2,170,2,19,18,18
prefix3,170,3,21,19,19
prefix5,170,5,23,22,22
prefix10,170,10,35,34,34
prefix1,171,1,14,13,13
prefix2,171,2,21,19,19
prefix3,171,3,23,22,22
prefix5,171,5,30,29,29
prefix10,171,10,47,45,45
prefix1,172,1,14,13,13
prefix2,172,2,19,18,18
prefix3,172,3,23,22,22
prefix5,172,5,29,28,28
prefix10,172,10,45,44,44
full_tiny,173,8,43,41,41
prefix1,173,1,14,13,13
prefix2,173,2,19,18,18
prefix3,173,3,23,22,22
prefix5,173,5,31,29,29
prefix1,174,1,16,15,15
prefix2,174,2,18,17,17
prefix3,174,3,22,21,21
prefix5,174,5,27,26,26
prefix10,174,10,37,35,35
prefix1,175,1,14,13,13
prefix2,175,2,19,18,18
prefix3,175,3,21,19,19
prefix5,175,5,24,23,23
prefix10,175,10,33,32,32
prefix1,176,1,16,15,15
prefix2,176,2,21,19,19
prefix3,176,3,23,22,22
prefix5,176,5,28,27,27
prefix10,176,10,42,40,40
full_tiny,177,12,61,60,60
prefix1,177,1,16,14,14
prefix2,177,2,23,22,22
